ID,Gender,Age,Major,Sleep,Study,Social_Hours,Attendance,Attendance_Grade,P_CGPA,F_CGPA,CGPA_Diff,Trend,Efficiency,Top_15
ID00021,Female,18,Engineering,6.5,6.2,7,78.6,Normal,3.01,3.11,0.10000000000000009,Other,0.5,False
ID00022,Male,24,Engineering,7.7,11.0,7,60.1,Danger,2.98,3.26,0.2799999999999998,Other,0.3,False
ID00023,Male,20,Business,8.2,6.5,8,92.1,Excellent,2.51,2.93,0.4200000000000004,Other,0.45,False
ID00024,Male,22,Business,8.3,2.6,6,100.0,Excellent,2.76,2.79,0.03000000000000025,Maintain,1.07,False
ID00025,Male,23,Mathematics,6.7,6.0,4,89.2,Normal,2.89,3.2,0.31000000000000005,Other,0.53,False
ID00026,Female,18,Psychology,7.2,6.8,12,72.3,Danger,3.16,3.3,0.13999999999999968,Other,0.49,False
ID00027,Male,19,Computer Science,6.1,5.2,9,85.7,Normal,2.82,3.26,0.43999999999999995,Other,0.63,False
ID00028,Male,22,Economics,8.2,5.6,5,64.5,Danger,2.67,2.79,0.1200000000000001,Other,0.5,False
ID00029,Female,22,Psychology,5.6,4.0,9,100.0,Excellent,3.48,3.8,0.31999999999999984,Other,0.95,False
ID00030,Male,18,Psychology,7.3,1.9,7,86.2,Normal,3.29,3.49,0.20000000000000018,Other,1.84,False
ID00031,Female,20,Business,8.3,3.9,6,58.5,Danger,2.83,2.54,-0.29000000000000004,Other,0.65,False
ID00032,Male,23,Business,7.2,2.3,7,80.5,Normal,3.35,3.5,0.1499999999999999,Other,1.52,False
ID00033,Male,19,Business,7.5,3.7,8,91.9,Excellent,2.87,3.2,0.33000000000000007,Other,0.86,False
ID00034,Female,22,Psychology,6.6,3.0,10,80.0,Normal,3.13,3.48,0.3500000000000001,Other,1.16,False
ID00035,Female,20,Computer Science,4.2,2.2,10,80.9,Normal,3.59,3.85,0.26000000000000023,Other,1.75,False
ID00036,Female,24,Business,6.0,8.6,7,66.6,Danger,2.8,2.91,0.11000000000000032,Other,0.34,False
ID00037,Male,23,Engineering,7.1,4.2,7,93.5,Excellent,2.51,2.71,0.20000000000000018,Other,0.65,False
ID00038,Male,24,Computer Science,6.0,3.1,4,75.3,Normal,3.03,2.86,-0.16999999999999993,Other,0.92,False
ID00039,Female,23,Engineering,7.7,1.4,7,52.7,Danger,2.42,2.06,-0.3599999999999999,Other,1.47,False
ID00040,Male,19,Computer Science,4.8,6.6,4,79.4,Normal,2.96,3.07,0.10999999999999988,Other,0.47,False
ID00041,Male,21,Business,4.1,4.8,10,99.7,Excellent,2.96,3.05,0.08999999999999986,Maintain,0.64,False
ID00042,Male,23,Economics,8.0,11.9,9,79.2,Normal,1.87,2.38,0.5099999999999998,Improve,0.2,False
ID00043,Male,21,Mathematics,6.5,2.7,7,100.0,Excellent,3.37,3.76,0.3899999999999997,Other,1.39,False
ID00044,Female,24,Business,7.5,8.2,10,91.4,Excellent,3.01,3.42,0.41000000000000014,Other,0.42,False
ID00045,Male,23,Psychology,6.2,3.9,4,90.1,Excellent,3.69,3.97,0.28000000000000025,Other,1.02,True
ID00046,Female,19,Economics,7.8,2.4,8,83.1,Normal,3.21,3.62,0.41000000000000014,Other,1.51,False
ID00047,Male,18,Psychology,9.0,3.3,8,84.0,Normal,3.47,3.76,0.2899999999999996,Other,1.14,False
ID00048,Male,19,Computer Science,9.1,4.5,5,81.0,Normal,3.7,3.9,0.19999999999999973,Other,0.87,True
ID00049,Male,19,Psychology,6.0,3.1,7,80.5,Normal,3.03,3.43,0.40000000000000036,Other,1.11,False
ID00050,Male,18,Economics,6.4,2.0,9,93.0,Excellent,3.1,3.5,0.3999999999999999,Other,1.75,False
ID00051,Female,18,Economics,7.3,2.4,6,71.0,Danger,2.31,2.2,-0.10999999999999988,Other,0.92,False
ID00052,Female,20,Business,9.8,5.7,12,68.9,Danger,3.72,3.83,0.10999999999999988,Other,0.67,False
ID00053,Female,23,Engineering,5.3,2.2,10,68.2,Danger,3.03,2.73,-0.2999999999999998,Other,1.24,False
ID00054,Female,24,Business,5.3,2.9,11,100.0,Excellent,2.6,2.62,0.020000000000000018,Maintain,0.9,False
ID00055,Female,20,Computer Science,8.3,2.2,7,93.0,Excellent,3.47,3.66,0.18999999999999995,Other,1.66,False
ID00056,Female,18,Psychology,6.0,4.9,7,89.6,Normal,2.01,2.4,0.3900000000000001,Other,0.49,False
ID00057,Male,21,Engineering,8.0,14.0,7,69.1,Danger,2.89,3.56,0.6699999999999999,Improve,0.25,False
ID00058,Male,24,Mathematics,6.1,5.6,9,94.4,Excellent,3.55,4.0,0.4500000000000002,Other,0.71,True
ID00059,Male,21,Economics,7.5,2.6,5,83.3,Normal,2.88,3.07,0.18999999999999995,Other,1.18,False
ID00060,Male,19,Engineering,6.2,4.9,8,88.2,Normal,2.74,3.14,0.3999999999999999,Other,0.64,False
ID00061,Male,22,Engineering,5.5,2.7,9,70.4,Danger,2.89,2.88,-0.010000000000000231,Maintain,1.07,False
ID00062,Male,19,Business,7.2,4.7,2,87.4,Normal,2.1,2.39,0.29000000000000004,Other,0.51,False
ID00063,Female,19,Mathematics,5.2,9.1,8,78.6,Normal,3.46,3.61,0.1499999999999999,Other,0.4,False
ID00064,Male,22,Economics,7.7,4.1,4,73.5,Danger,3.04,2.92,-0.1200000000000001,Other,0.71,False
ID00065,Male,23,Computer Science,6.6,5.1,16,96.0,Excellent,2.96,2.92,-0.040000000000000036,Maintain,0.57,False
ID00066,Male,18,Computer Science,5.0,4.2,6,61.9,Danger,2.97,2.97,0.0,Maintain,0.71,False
ID00067,Male,21,Engineering,7.4,7.0,13,93.5,Excellent,3.11,3.61,0.5,Improve,0.52,False
ID00068,Female,19,Engineering,7.4,6.1,7,95.3,Excellent,3.43,3.75,0.31999999999999984,Other,0.61,False
ID00069,Male,22,Psychology,4.0,3.4,6,71.8,Danger,3.07,2.79,-0.2799999999999998,Other,0.82,False
ID00070,Female,20,Mathematics,6.9,6.1,6,72.7,Danger,2.42,2.44,0.020000000000000018,Maintain,0.4,False
ID00071,Female,19,Economics,7.0,4.7,2,81.7,Normal,3.39,3.87,0.48,Other,0.82,True
ID00072,Male,21,Engineering,7.1,3.2,9,89.2,Normal,3.35,3.5,0.1499999999999999,Other,1.09,False
ID00073,Male,18,Psychology,4.3,3.3,5,82.7,Normal,3.2,3.38,0.17999999999999972,Other,1.02,False
ID00074,Female,19,Mathematics,7.5,4.6,4,91.5,Excellent,3.64,3.92,0.2799999999999998,Other,0.85,True
ID00075,Female,19,Economics,7.8,5.1,6,100.0,Excellent,3.12,3.54,0.41999999999999993,Other,0.69,False
ID00076,Female,23,Computer Science,5.6,3.8,9,77.4,Normal,3.66,3.6,-0.06000000000000005,Maintain,0.95,False
ID00077,Female,22,Psychology,4.9,5.1,4,59.3,Danger,3.8,3.7,-0.09999999999999964,Maintain,0.73,False
ID00078,Male,20,Mathematics,5.5,2.6,5,97.4,Excellent,3.39,3.68,0.29000000000000004,Other,1.42,False
ID00079,Male,20,Psychology,7.2,2.1,7,100.0,Excellent,2.73,3.16,0.43000000000000016,Other,1.5,False
ID00080,Male,24,Engineering,5.1,1.5,6,90.9,Excellent,3.03,3.19,0.16000000000000014,Other,2.13,False
ID00081,Female,18,Business,5.0,5.6,6,68.7,Danger,3.72,3.85,0.1299999999999999,Other,0.69,False
ID00082,Female,24,Computer Science,10.0,1.5,17,83.1,Normal,2.35,2.33,-0.020000000000000018,Maintain,1.55,False
ID00083,Male,21,Engineering,7.0,5.1,6,68.2,Danger,2.9,2.82,-0.08000000000000007,Maintain,0.55,False
ID00084,Male,18,Engineering,6.5,3.1,13,94.6,Excellent,2.93,3.4,0.46999999999999975,Other,1.1,False
ID00085,Male,19,Mathematics,6.0,3.5,6,64.7,Danger,2.67,2.58,-0.08999999999999986,Maintain,0.74,False
ID00086,Male,19,Psychology,6.4,3.5,8,80.5,Normal,3.54,3.95,0.41000000000000014,Other,1.13,True
ID00087,Female,20,Computer Science,9.7,13.7,10,69.9,Danger,3.29,3.83,0.54,Improve,0.28,False
ID00088,Female,21,Engineering,8.2,2.9,6,86.9,Normal,2.74,2.78,0.03999999999999959,Maintain,0.96,False
ID00089,Female,22,Mathematics,10.0,2.3,12,79.5,Normal,3.4,3.45,0.050000000000000266,Maintain,1.5,False
ID00090,Male,21,Computer Science,7.6,10.7,9,87.7,Normal,3.02,3.88,0.8599999999999999,Improve,0.36,True
ID00091,Male,19,Psychology,5.6,1.7,8,85.3,Normal,2.65,2.85,0.20000000000000018,Other,1.68,False
ID00092,Female,22,Engineering,7.4,1.9,1,70.2,Danger,2.74,2.55,-0.1900000000000004,Other,1.34,False
ID00093,Female,21,Economics,7.8,6.7,6,94.4,Excellent,3.32,3.83,0.5100000000000002,Improve,0.57,False
ID00094,Female,21,Engineering,7.9,5.2,2,84.3,Normal,3.57,3.92,0.3500000000000001,Other,0.75,True
ID00095,Female,22,Engineering,6.3,3.3,12,70.2,Danger,2.86,3.05,0.18999999999999995,Other,0.92,False
ID00096,Male,19,Computer Science,9.7,2.2,10,100.0,Excellent,3.37,3.49,0.1200000000000001,Other,1.59,False
ID00097,Male,21,Computer Science,5.1,1.0,8,92.1,Excellent,3.89,4.0,0.10999999999999988,Other,4.0,True
ID00098,Male,22,Computer Science,7.5,9.4,10,82.7,Normal,2.47,3.14,0.6699999999999999,Improve,0.33,False
ID00099,Male,23,Computer Science,6.6,6.1,5,100.0,Excellent,3.28,3.64,0.3600000000000003,Other,0.6,False
ID00100,Male,23,Mathematics,5.8,8.9,9,100.0,Excellent,3.52,4.0,0.48,Other,0.45,True
ID00101,Male,19,Business,7.4,7.4,10,82.8,Normal,3.05,3.53,0.48,Other,0.48,False
ID00102,Female,22,Mathematics,8.9,5.4,8,90.2,Excellent,3.72,3.99,0.27,Other,0.74,True
ID00103,Male,23,Engineering,7.6,2.9,16,70.2,Danger,4.0,3.84,-0.16000000000000014,Other,1.32,False
ID00104,Male,22,Mathematics,7.4,2.2,6,82.8,Normal,3.27,3.39,0.1200000000000001,Other,1.54,False
ID00105,Female,21,Psychology,4.0,7.8,9,82.0,Normal,2.98,3.38,0.3999999999999999,Other,0.43,False
ID00106,Male,19,Economics,8.4,3.1,8,87.8,Normal,3.59,3.6,0.010000000000000231,Maintain,1.16,False
ID00107,Male,23,Computer Science,6.4,2.2,11,90.0,Normal,3.52,3.68,0.16000000000000014,Other,1.67,False
ID00108,Female,24,Psychology,7.8,2.7,7,93.4,Excellent,1.84,2.17,0.32999999999999985,Other,0.8,False
ID00109,Male,21,Economics,8.4,8.1,11,88.6,Normal,3.1,3.39,0.29000000000000004,Other,0.42,False
ID00110,Male,24,Psychology,7.3,2.4,15,66.8,Danger,2.9,2.78,-0.1200000000000001,Other,1.16,False
ID00111,Male,24,Engineering,4.0,3.3,11,70.9,Danger,3.3,3.37,0.07000000000000028,Maintain,1.02,False
ID00112,Male,18,Computer Science,9.1,3.9,5,76.8,Normal,3.0,3.02,0.020000000000000018,Maintain,0.77,False
ID00113,Female,18,Psychology,9.7,4.7,8,80.8,Normal,3.06,3.17,0.10999999999999988,Other,0.67,False
ID00114,Female,19,Engineering,8.2,2.3,9,100.0,Excellent,2.67,3.03,0.3599999999999999,Other,1.32,False
ID00115,Female,23,Computer Science,5.9,3.8,6,67.6,Danger,3.47,3.59,0.11999999999999966,Other,0.94,False
ID00116,Female,23,Business,8.8,6.8,8,79.6,Normal,3.93,3.88,-0.050000000000000266,Maintain,0.57,True
ID00117,Female,23,Engineering,6.6,11.9,12,99.3,Excellent,2.68,3.59,0.9099999999999997,Improve,0.3,False
ID00118,Male,22,Mathematics,6.9,2.0,5,80.5,Normal,2.4,2.67,0.27,Other,1.34,False
ID00119,Female,21,Computer Science,8.8,2.2,5,91.9,Excellent,3.11,3.44,0.33000000000000007,Other,1.56,False
ID00120,Male,23,Psychology,8.0,2.4,6,82.9,Normal,3.09,3.55,0.45999999999999996,Other,1.48,False
ID00121,Female,21,Economics,4.0,5.9,9,88.9,Normal,3.69,4.0,0.31000000000000005,Other,0.68,True
ID00122,Female,19,Psychology,7.3,2.1,8,81.6,Normal,2.49,2.66,0.16999999999999993,Other,1.27,False
ID00123,Male,24,Mathematics,8.8,3.7,8,95.0,Excellent,2.83,3.23,0.3999999999999999,Other,0.87,False
ID00124,Male,23,Mathematics,5.0,3.5,6,61.8,Danger,2.03,1.98,-0.04999999999999982,Maintain,0.57,False
ID00125,Male,19,Psychology,8.5,12.5,11,79.6,Normal,3.79,4.0,0.20999999999999996,Other,0.32,True
ID00126,Male,23,Economics,4.5,2.9,4,89.4,Normal,3.23,3.41,0.18000000000000016,Other,1.18,False
ID00127,Female,18,Computer Science,6.7,2.8,8,93.0,Excellent,2.87,3.12,0.25,Other,1.11,False
ID00128,Female,20,Engineering,7.8,5.9,6,100.0,Excellent,2.44,3.06,0.6200000000000001,Improve,0.52,False
ID00129,Male,19,Mathematics,6.6,4.9,6,79.1,Normal,2.48,2.7,0.2200000000000002,Other,0.55,False
ID00130,Male,23,Mathematics,8.8,2.7,11,100.0,Excellent,3.31,3.31,0.0,Maintain,1.23,False
ID00131,Male,20,Mathematics,4.9,8.4,3,75.1,Normal,2.55,2.52,-0.029999999999999805,Maintain,0.3,False
ID00132,Male,19,Economics,8.2,1.6,10,100.0,Excellent,3.15,3.11,-0.040000000000000036,Maintain,1.94,False
ID00133,Male,22,Business,7.1,4.0,9,97.3,Excellent,4.0,4.0,0.0,Maintain,1.0,True
ID00134,Male,23,Economics,5.7,3.4,4,71.3,Danger,2.93,2.98,0.04999999999999982,Maintain,0.88,False
ID00135,Female,22,Computer Science,7.7,3.8,13,89.6,Normal,2.62,2.97,0.3500000000000001,Other,0.78,False
ID00136,Male,18,Computer Science,6.9,2.7,7,84.2,Normal,3.29,3.59,0.2999999999999998,Other,1.33,False
ID00137,Male,23,Computer Science,9.2,3.8,11,94.4,Excellent,2.49,2.63,0.13999999999999968,Other,0.69,False
ID00138,Female,24,Computer Science,7.9,4.6,6,81.7,Normal,3.96,4.0,0.040000000000000036,Maintain,0.87,True
ID00139,Male,18,Computer Science,7.6,0.7,9,80.4,Normal,3.8,3.89,0.0900000000000003,Maintain,5.56,True
ID00140,Female,20,Psychology,6.0,3.1,5,100.0,Excellent,3.02,3.23,0.20999999999999996,Other,1.04,False
ID00141,Female,19,Mathematics,7.2,2.5,6,83.5,Normal,2.65,2.88,0.22999999999999998,Other,1.15,False
ID00142,Male,21,Economics,6.1,10.3,7,97.4,Excellent,2.89,3.37,0.48,Other,0.33,False
ID00143,Male,18,Psychology,6.9,5.3,5,81.6,Normal,2.95,3.55,0.5999999999999996,Improve,0.67,False
ID00144,Male,21,Economics,8.9,2.4,11,100.0,Excellent,3.29,3.63,0.33999999999999986,Other,1.51,False
ID00145,Male,21,Business,6.6,3.0,6,74.8,Danger,3.62,3.74,0.1200000000000001,Other,1.25,False
ID00146,Male,19,Engineering,4.8,3.4,9,75.8,Normal,2.58,2.53,-0.050000000000000266,Maintain,0.74,False
ID00147,Female,20,Mathematics,7.7,2.9,10,100.0,Excellent,3.61,4.0,0.3900000000000001,Other,1.38,True
ID00148,Male,19,Business,8.2,5.5,9,78.3,Normal,3.41,3.62,0.20999999999999996,Other,0.66,False
ID00149,Male,23,Psychology,9.4,9.3,11,100.0,Excellent,2.85,3.28,0.4299999999999997,Other,0.35,False
ID00150,Male,18,Engineering,8.3,0.4,10,98.4,Excellent,2.56,2.58,0.020000000000000018,Maintain,6.45,False
ID00151,Female,21,Business,6.6,3.3,8,82.7,Normal,3.16,3.57,0.4099999999999997,Other,1.08,False
ID00152,Male,19,Economics,7.4,11.9,15,57.8,Danger,2.57,2.77,0.20000000000000018,Other,0.23,False
ID00153,Male,19,Engineering,7.6,3.4,3,84.7,Normal,3.61,4.0,0.3900000000000001,Other,1.18,True
ID00154,Male,19,Economics,7.7,4.7,8,86.5,Normal,2.54,2.86,0.31999999999999984,Other,0.61,False
ID00155,Female,18,Business,4.0,0.8,7,100.0,Excellent,3.37,3.38,0.009999999999999787,Maintain,4.22,False
ID00156,Male,20,Psychology,6.1,8.3,6,100.0,Excellent,3.06,3.66,0.6000000000000001,Improve,0.44,False
ID00157,Female,24,Economics,7.7,2.0,4,74.7,Danger,2.82,2.63,-0.18999999999999995,Other,1.32,False
ID00158,Female,19,Engineering,8.6,5.2,8,97.0,Excellent,3.05,3.18,0.13000000000000034,Other,0.61,False
ID00159,Male,18,Business,6.0,2.2,9,96.5,Excellent,3.64,3.8,0.1599999999999997,Other,1.73,False
ID00160,Female,21,Economics,6.4,0.5,3,100.0,Excellent,2.5,2.54,0.040000000000000036,Maintain,5.08,False
ID00161,Male,23,Psychology,6.6,4.9,7,92.5,Excellent,2.89,3.09,0.19999999999999973,Other,0.63,False
ID00162,Female,24,Mathematics,6.8,6.2,7,55.9,Danger,2.72,2.69,-0.03000000000000025,Maintain,0.43,False
ID00163,Female,22,Psychology,8.3,3.9,9,82.7,Normal,3.08,3.34,0.2599999999999998,Other,0.86,False
ID00164,Male,24,Psychology,5.9,1.8,10,67.7,Danger,2.76,2.67,-0.08999999999999986,Maintain,1.48,False
ID00165,Male,24,Mathematics,8.3,13.2,8,82.0,Normal,2.22,2.8,0.5799999999999996,Improve,0.21,False
ID00166,Female,18,Psychology,9.1,6.0,9,99.7,Excellent,2.57,2.82,0.25,Other,0.47,False
ID00167,Male,22,Mathematics,6.4,4.5,5,89.6,Normal,3.92,4.0,0.08000000000000007,Maintain,0.89,True
ID00168,Male,19,Mathematics,6.4,7.6,4,100.0,Excellent,3.22,3.95,0.73,Improve,0.52,True
ID00169,Male,19,Economics,7.2,2.9,11,90.1,Excellent,3.21,3.35,0.14000000000000012,Other,1.16,False
ID00170,Female,24,Economics,6.1,10.9,6,65.5,Danger,2.96,3.19,0.22999999999999998,Other,0.29,False
ID00171,Female,18,Mathematics,6.9,6.1,7,47.2,Danger,3.07,2.97,-0.09999999999999964,Maintain,0.49,False
ID00172,Male,22,Business,4.8,7.2,5,87.2,Normal,2.89,3.23,0.33999999999999986,Other,0.45,False
ID00173,Male,19,Engineering,8.3,3.3,6,81.8,Normal,3.36,3.73,0.3700000000000001,Other,1.13,False
ID00174,Male,21,Business,9.5,2.0,10,70.3,Danger,3.15,3.13,-0.020000000000000018,Maintain,1.56,False
ID00175,Female,20,Mathematics,6.0,4.5,2,59.5,Danger,2.51,2.43,-0.07999999999999963,Maintain,0.54,False
ID00176,Male,20,Engineering,4.5,3.0,7,74.0,Danger,3.23,3.22,-0.009999999999999787,Maintain,1.07,False
ID00177,Female,19,Economics,8.4,11.6,14,82.1,Normal,1.87,2.35,0.48,Other,0.2,False
ID00178,Male,22,Engineering,6.4,1.6,3,95.0,Excellent,3.31,3.37,0.06000000000000005,Maintain,2.11,False
ID00179,Female,23,Mathematics,6.0,8.7,11,87.8,Normal,2.4,2.81,0.41000000000000014,Other,0.32,False
ID00180,Male,19,Economics,6.8,1.2,5,100.0,Excellent,3.05,3.38,0.33000000000000007,Other,2.82,False
ID00181,Male,23,Engineering,5.2,2.2,8,69.5,Danger,2.5,2.42,-0.08000000000000007,Maintain,1.1,False
ID00182,Male,23,Engineering,7.7,1.2,5,98.2,Excellent,3.1,3.5,0.3999999999999999,Other,2.92,False
ID00183,Female,22,Business,5.1,2.9,10,85.7,Normal,3.39,3.64,0.25,Other,1.26,False
ID00184,Female,23,Engineering,5.2,3.6,10,95.4,Excellent,3.85,3.98,0.1299999999999999,Other,1.11,True
ID00185,Male,21,Mathematics,5.2,2.7,12,78.5,Normal,2.33,2.05,-0.28000000000000025,Other,0.76,False
ID00186,Female,22,Computer Science,7.2,5.2,6,100.0,Excellent,3.59,3.95,0.3600000000000003,Other,0.76,True
ID00187,Female,19,Computer Science,4.3,3.6,7,89.4,Normal,3.17,3.28,0.10999999999999988,Other,0.91,False
ID00188,Female,24,Computer Science,10.0,0.9,11,74.8,Danger,2.87,2.72,-0.1499999999999999,Other,3.02,False
ID00189,Male,21,Mathematics,6.4,2.1,4,84.8,Normal,3.48,3.57,0.08999999999999986,Maintain,1.7,False
ID00190,Male,18,Computer Science,4.0,3.3,9,81.4,Normal,2.98,3.3,0.31999999999999984,Other,1.0,False
ID00191,Male,20,Business,5.4,7.4,12,92.3,Excellent,3.46,3.96,0.5,Improve,0.54,True
ID00192,Female,19,Mathematics,7.9,4.3,11,67.3,Danger,2.6,2.76,0.1599999999999997,Other,0.64,False
ID00193,Female,19,Economics,9.0,3.0,10,84.6,Normal,2.78,3.17,0.3900000000000001,Other,1.06,False
ID00194,Female,19,Mathematics,7.2,1.5,5,90.9,Excellent,3.57,3.86,0.29000000000000004,Other,2.57,False
ID00195,Male,21,Mathematics,7.1,4.5,5,85.5,Normal,3.84,4.0,0.16000000000000014,Other,0.89,True
ID00196,Male,18,Engineering,4.7,8.4,9,100.0,Excellent,3.08,3.38,0.2999999999999998,Other,0.4,False
ID00197,Female,24,Engineering,9.2,3.4,11,96.6,Excellent,1.71,2.11,0.3999999999999999,Other,0.62,False
ID00198,Female,22,Engineering,7.8,2.3,10,84.9,Normal,3.0,3.15,0.1499999999999999,Other,1.37,False
ID00199,Female,18,Psychology,7.5,5.6,10,88.3,Normal,3.12,3.55,0.4299999999999997,Other,0.63,False
ID00200,Female,21,Business,7.0,7.6,11,89.4,Normal,2.98,3.69,0.71,Improve,0.49,False
ID00201,Female,19,Mathematics,7.8,3.6,6,91.0,Excellent,3.27,3.47,0.20000000000000018,Other,0.96,False
ID00202,Male,20,Mathematics,5.8,6.0,7,57.6,Danger,2.86,2.42,-0.43999999999999995,Other,0.4,False
ID00203,Male,19,Engineering,8.4,3.1,9,80.5,Normal,3.52,3.64,0.1200000000000001,Other,1.17,False
ID00204,Female,22,Mathematics,8.2,6.2,3,62.7,Danger,2.52,2.44,-0.08000000000000007,Maintain,0.39,False
ID00205,Female,23,Economics,6.9,8.6,10,100.0,Excellent,3.72,4.0,0.2799999999999998,Other,0.47,True
ID00206,Male,20,Mathematics,6.6,6.7,3,84.1,Normal,3.88,4.0,0.1200000000000001,Other,0.6,True
ID00207,Male,19,Computer Science,4.0,5.5,8,82.1,Normal,2.64,2.79,0.1499999999999999,Other,0.51,False
ID00208,Female,24,Economics,4.4,10.2,5,98.5,Excellent,2.64,3.36,0.7199999999999998,Improve,0.33,False
ID00209,Male,20,Economics,7.8,3.5,13,91.3,Excellent,3.31,3.45,0.14000000000000012,Other,0.99,False
ID00210,Male,23,Mathematics,8.4,5.5,15,68.1,Danger,2.51,2.44,-0.06999999999999984,Maintain,0.44,False
ID00211,Male,18,Psychology,8.6,3.5,7,83.9,Normal,2.85,2.97,0.1200000000000001,Other,0.85,False
ID00212,Female,21,Engineering,5.0,5.5,5,80.0,Normal,3.65,3.78,0.1299999999999999,Other,0.69,False
ID00213,Female,19,Business,10.0,6.1,10,58.8,Danger,3.47,3.09,-0.38000000000000034,Other,0.51,False
ID00214,Male,22,Business,8.5,7.0,7,74.6,Danger,4.0,4.0,0.0,Maintain,0.57,True
ID00215,Female,18,Computer Science,6.1,4.2,6,82.2,Normal,3.19,3.37,0.18000000000000016,Other,0.8,False
ID00216,Male,19,Business,7.2,1.1,6,83.3,Normal,2.79,2.8,0.009999999999999787,Maintain,2.55,False
ID00217,Male,18,Business,4.5,3.6,6,62.8,Danger,3.13,3.11,-0.020000000000000018,Maintain,0.86,False
ID00218,Female,22,Engineering,6.1,5.9,11,100.0,Excellent,3.02,3.3,0.2799999999999998,Other,0.56,False
ID00219,Female,19,Engineering,7.8,4.9,9,83.5,Normal,3.03,3.37,0.3400000000000003,Other,0.69,False
ID00220,Female,23,Psychology,7.1,5.3,14,85.6,Normal,3.09,3.31,0.2200000000000002,Other,0.62,False
ID00221,Female,23,Computer Science,9.6,6.3,14,91.0,Excellent,2.63,2.94,0.31000000000000005,Other,0.47,False
ID00222,Female,22,Business,4.8,1.9,9,73.2,Danger,3.24,3.01,-0.23000000000000043,Other,1.58,False
ID00223,Male,20,Psychology,6.8,6.5,4,91.8,Excellent,2.4,2.92,0.52,Improve,0.45,False
ID00224,Male,22,Computer Science,5.3,10.5,10,79.5,Normal,2.74,3.01,0.2699999999999996,Other,0.29,False
ID00225,Male,20,Economics,9.3,3.3,8,71.6,Danger,3.04,3.03,-0.010000000000000231,Maintain,0.92,False
ID00226,Male,19,Business,7.4,7.0,9,93.6,Excellent,1.97,2.64,0.6700000000000002,Improve,0.38,False
ID00227,Female,20,Business,7.0,4.3,10,100.0,Excellent,3.48,3.96,0.48,Other,0.92,True
ID00228,Male,19,Engineering,6.8,5.2,9,95.9,Excellent,2.07,2.65,0.5800000000000001,Improve,0.51,False
ID00229,Female,19,Mathematics,5.7,6.7,12,98.8,Excellent,3.43,3.64,0.20999999999999996,Other,0.54,False
ID00230,Female,24,Computer Science,8.8,4.9,4,77.2,Normal,2.45,2.64,0.18999999999999995,Other,0.54,False
ID00231,Female,21,Business,7.3,3.1,16,61.0,Danger,2.9,2.53,-0.3700000000000001,Other,0.82,False
ID00232,Male,19,Computer Science,7.4,5.0,3,100.0,Excellent,3.36,3.67,0.31000000000000005,Other,0.73,False
