ID,Gender,Age,Major,Sleep,Study,Social_Hours,Attendance,Lifestyle_Cluster,P_CGPA,F_CGPA,CGPA_Diff
ID00061,Male,22,Engineering,5.5,2.7,9,70.4,Type_C,2.89,2.88,-0.010000000000000231
ID00062,Male,19,Business,7.2,4.7,2,87.4,Type_A,2.1,2.39,0.29000000000000004
ID00063,Female,19,Mathematics,5.2,9.1,8,78.6,Type_B,3.46,3.61,0.1499999999999999
ID00064,Male,22,Economics,7.7,4.1,4,73.5,Type_C,3.04,2.92,-0.1200000000000001
ID00065,Male,23,Computer Science,6.6,5.1,16,96.0,Type_B,2.96,2.92,-0.040000000000000036
ID00066,Male,18,Computer Science,5.0,4.2,6,61.9,Type_C,2.97,2.97,0.0
ID00067,Male,21,Engineering,7.4,7.0,13,93.5,Type_B,3.11,3.61,0.5
ID00068,Female,19,Engineering,7.4,6.1,7,95.3,Type_A,3.43,3.75,0.31999999999999984
ID00069,Male,22,Psychology,4.0,3.4,6,71.8,Type_B,3.07,2.79,-0.2799999999999998
ID00070,Female,20,Mathematics,6.9,6.1,6,72.7,Type_C,2.42,2.44,0.020000000000000018
ID00071,Female,19,Economics,7.0,4.7,2,81.7,Type_A,3.39,3.87,0.48
ID00072,Male,21,Engineering,7.1,3.2,9,89.2,Type_A,3.35,3.5,0.1499999999999999
ID00073,Male,18,Psychology,4.3,3.3,5,82.7,Type_B,3.2,3.38,0.17999999999999972
ID00074,Female,19,Mathematics,7.5,4.6,4,91.5,Type_A,3.64,3.92,0.2799999999999998
ID00075,Female,19,Economics,7.8,5.1,6,100.0,Type_A,3.12,3.54,0.41999999999999993
ID00076,Female,23,Computer Science,5.6,3.8,9,77.4,Type_B,3.66,3.6,-0.06000000000000005
ID00077,Female,22,Psychology,4.9,5.1,4,59.3,Type_C,3.8,3.7,-0.09999999999999964
ID00078,Male,20,Mathematics,5.5,2.6,5,97.4,Type_B,3.39,3.68,0.29000000000000004
ID00079,Male,20,Psychology,7.2,2.1,7,100.0,Type_A,2.73,3.16,0.43000000000000016
ID00080,Male,24,Engineering,5.1,1.5,6,90.9,Type_B,3.03,3.19,0.16000000000000014
ID00081,Female,18,Business,5.0,5.6,6,68.7,Type_C,3.72,3.85,0.1299999999999999
ID00082,Female,24,Computer Science,10.0,1.5,17,83.1,Type_C,2.35,2.33,-0.020000000000000018
ID00083,Male,21,Engineering,7.0,5.1,6,68.2,Type_C,2.9,2.82,-0.08000000000000007
ID00084,Male,18,Engineering,6.5,3.1,13,94.6,Type_B,2.93,3.4,0.46999999999999975
ID00085,Male,19,Mathematics,6.0,3.5,6,64.7,Type_C,2.67,2.58,-0.08999999999999986
ID00086,Male,19,Psychology,6.4,3.5,8,80.5,Type_C,3.54,3.95,0.41000000000000014
ID00087,Female,20,Computer Science,9.7,13.7,10,69.9,Type_C,3.29,3.83,0.54
ID00088,Female,21,Engineering,8.2,2.9,6,86.9,Type_A,2.74,2.78,0.03999999999999959
ID00089,Female,22,Mathematics,10.0,2.3,12,79.5,Type_A,3.4,3.45,0.050000000000000266
ID00090,Male,21,Computer Science,7.6,10.7,9,87.7,Type_B,3.02,3.88,0.8599999999999999
ID00091,Male,19,Psychology,5.6,1.7,8,85.3,Type_B,2.65,2.85,0.20000000000000018
ID00092,Female,22,Engineering,7.4,1.9,1,70.2,Type_C,2.74,2.55,-0.1900000000000004
ID00093,Female,21,Economics,7.8,6.7,6,94.4,Type_A,3.32,3.83,0.5100000000000002
ID00094,Female,21,Engineering,7.9,5.2,2,84.3,Type_A,3.57,3.92,0.3500000000000001
ID00095,Female,22,Engineering,6.3,3.3,12,70.2,Type_C,2.86,3.05,0.18999999999999995
ID00096,Male,19,Computer Science,9.7,2.2,10,100.0,Type_A,3.37,3.49,0.1200000000000001
ID00097,Male,21,Computer Science,5.1,1.0,8,92.1,Type_B,3.89,4.0,0.10999999999999988
ID00098,Male,22,Computer Science,7.5,9.4,10,82.7,Type_B,2.47,3.14,0.6699999999999999
ID00099,Male,23,Computer Science,6.6,6.1,5,100.0,Type_B,3.28,3.64,0.3600000000000003
ID00100,Male,23,Mathematics,5.8,8.9,9,100.0,Type_B,3.52,4.0,0.48
ID00101,Male,19,Business,7.4,7.4,10,82.8,Type_B,3.05,3.53,0.48
ID00102,Female,22,Mathematics,8.9,5.4,8,90.2,Type_A,3.72,3.99,0.27
ID00103,Male,23,Engineering,7.6,2.9,16,70.2,Type_C,4.0,3.84,-0.16000000000000014
ID00104,Male,22,Mathematics,7.4,2.2,6,82.8,Type_A,3.27,3.39,0.1200000000000001
ID00105,Female,21,Psychology,4.0,7.8,9,82.0,Type_B,2.98,3.38,0.3999999999999999
ID00106,Male,19,Economics,8.4,3.1,8,87.8,Type_A,3.59,3.6,0.010000000000000231
ID00107,Male,23,Computer Science,6.4,2.2,11,90.0,Type_B,3.52,3.68,0.16000000000000014
ID00108,Female,24,Psychology,7.8,2.7,7,93.4,Type_A,1.84,2.17,0.32999999999999985
ID00109,Male,21,Economics,8.4,8.1,11,88.6,Type_A,3.1,3.39,0.29000000000000004
ID00110,Male,24,Psychology,7.3,2.4,15,66.8,Type_C,2.9,2.78,-0.1200000000000001
ID00111,Male,24,Engineering,4.0,3.3,11,70.9,Type_B,3.3,3.37,0.07000000000000028
ID00112,Male,18,Computer Science,9.1,3.9,5,76.8,Type_A,3.0,3.02,0.020000000000000018
ID00113,Female,18,Psychology,9.7,4.7,8,80.8,Type_A,3.06,3.17,0.10999999999999988
ID00114,Female,19,Engineering,8.2,2.3,9,100.0,Type_A,2.67,3.03,0.3599999999999999
ID00115,Female,23,Computer Science,5.9,3.8,6,67.6,Type_C,3.47,3.59,0.11999999999999966
ID00116,Female,23,Business,8.8,6.8,8,79.6,Type_A,3.93,3.88,-0.050000000000000266
ID00117,Female,23,Engineering,6.6,11.9,12,99.3,Type_B,2.68,3.59,0.9099999999999997
ID00118,Male,22,Mathematics,6.9,2.0,5,80.5,Type_A,2.4,2.67,0.27
ID00119,Female,21,Computer Science,8.8,2.2,5,91.9,Type_A,3.11,3.44,0.33000000000000007
ID00120,Male,23,Psychology,8.0,2.4,6,82.9,Type_A,3.09,3.55,0.45999999999999996
ID00121,Female,21,Economics,4.0,5.9,9,88.9,Type_B,3.69,4.0,0.31000000000000005
ID00122,Female,19,Psychology,7.3,2.1,8,81.6,Type_A,2.49,2.66,0.16999999999999993
ID00123,Male,24,Mathematics,8.8,3.7,8,95.0,Type_A,2.83,3.23,0.3999999999999999
ID00124,Male,23,Mathematics,5.0,3.5,6,61.8,Type_C,2.03,1.98,-0.04999999999999982
ID00125,Male,19,Psychology,8.5,12.5,11,79.6,Type_B,3.79,4.0,0.20999999999999996
ID00126,Male,23,Economics,4.5,2.9,4,89.4,Type_B,3.23,3.41,0.18000000000000016
ID00127,Female,18,Computer Science,6.7,2.8,8,93.0,Type_A,2.87,3.12,0.25
ID00128,Female,20,Engineering,7.8,5.9,6,100.0,Type_A,2.44,3.06,0.6200000000000001
ID00129,Male,19,Mathematics,6.6,4.9,6,79.1,Type_C,2.48,2.7,0.2200000000000002
ID00130,Male,23,Mathematics,8.8,2.7,11,100.0,Type_A,3.31,3.31,0.0
ID00131,Male,20,Mathematics,4.9,8.4,3,75.1,Type_B,2.55,2.52,-0.029999999999999805
ID00132,Male,19,Economics,8.2,1.6,10,100.0,Type_A,3.15,3.11,-0.040000000000000036
ID00133,Male,22,Business,7.1,4.0,9,97.3,Type_A,4.0,4.0,0.0
ID00134,Male,23,Economics,5.7,3.4,4,71.3,Type_C,2.93,2.98,0.04999999999999982
ID00135,Female,22,Computer Science,7.7,3.8,13,89.6,Type_B,2.62,2.97,0.3500000000000001
ID00136,Male,18,Computer Science,6.9,2.7,7,84.2,Type_A,3.29,3.59,0.2999999999999998
ID00137,Male,23,Computer Science,9.2,3.8,11,94.4,Type_A,2.49,2.63,0.13999999999999968
ID00138,Female,24,Computer Science,7.9,4.6,6,81.7,Type_A,3.96,4.0,0.040000000000000036
ID00139,Male,18,Computer Science,7.6,0.7,9,80.4,Type_C,3.8,3.89,0.0900000000000003
ID00140,Female,20,Psychology,6.0,3.1,5,100.0,Type_A,3.02,3.23,0.20999999999999996
ID00141,Female,19,Mathematics,7.2,2.5,6,83.5,Type_A,2.65,2.88,0.22999999999999998
ID00142,Male,21,Economics,6.1,10.3,7,97.4,Type_B,2.89,3.37,0.48
ID00143,Male,18,Psychology,6.9,5.3,5,81.6,Type_A,2.95,3.55,0.5999999999999996
ID00144,Male,21,Economics,8.9,2.4,11,100.0,Type_A,3.29,3.63,0.33999999999999986
ID00145,Male,21,Business,6.6,3.0,6,74.8,Type_C,3.62,3.74,0.1200000000000001
ID00146,Male,19,Engineering,4.8,3.4,9,75.8,Type_B,2.58,2.53,-0.050000000000000266
ID00147,Female,20,Mathematics,7.7,2.9,10,100.0,Type_A,3.61,4.0,0.3900000000000001
ID00148,Male,19,Business,8.2,5.5,9,78.3,Type_C,3.41,3.62,0.20999999999999996
ID00149,Male,23,Psychology,9.4,9.3,11,100.0,Type_A,2.85,3.28,0.4299999999999997
ID00150,Male,18,Engineering,8.3,0.4,10,98.4,Type_A,2.56,2.58,0.020000000000000018
ID00151,Female,21,Business,6.6,3.3,8,82.7,Type_B,3.16,3.57,0.4099999999999997
ID00152,Male,19,Economics,7.4,11.9,15,57.8,Type_C,2.57,2.77,0.20000000000000018
ID00153,Male,19,Engineering,7.6,3.4,3,84.7,Type_A,3.61,4.0,0.3900000000000001
ID00154,Male,19,Economics,7.7,4.7,8,86.5,Type_A,2.54,2.86,0.31999999999999984
ID00155,Female,18,Business,4.0,0.8,7,100.0,Type_B,3.37,3.38,0.009999999999999787
ID00156,Male,20,Psychology,6.1,8.3,6,100.0,Type_B,3.06,3.66,0.6000000000000001
ID00157,Female,24,Economics,7.7,2.0,4,74.7,Type_A,2.82,2.63,-0.18999999999999995
ID00158,Female,19,Engineering,8.6,5.2,8,97.0,Type_A,3.05,3.18,0.13000000000000034
ID00159,Male,18,Business,6.0,2.2,9,96.5,Type_B,3.64,3.8,0.1599999999999997
ID00160,Female,21,Economics,6.4,0.5,3,100.0,Type_A,2.5,2.54,0.040000000000000036
ID00161,Male,23,Psychology,6.6,4.9,7,92.5,Type_B,2.89,3.09,0.19999999999999973
ID00162,Female,24,Mathematics,6.8,6.2,7,55.9,Type_C,2.72,2.69,-0.03000000000000025
ID00163,Female,22,Psychology,8.3,3.9,9,82.7,Type_A,3.08,3.34,0.2599999999999998
ID00164,Male,24,Psychology,5.9,1.8,10,67.7,Type_C,2.76,2.67,-0.08999999999999986
ID00165,Male,24,Mathematics,8.3,13.2,8,82.0,Type_B,2.22,2.8,0.5799999999999996
ID00166,Female,18,Psychology,9.1,6.0,9,99.7,Type_A,2.57,2.82,0.25
ID00167,Male,22,Mathematics,6.4,4.5,5,89.6,Type_A,3.92,4.0,0.08000000000000007
ID00168,Male,19,Mathematics,6.4,7.6,4,100.0,Type_B,3.22,3.95,0.73
ID00169,Male,19,Economics,7.2,2.9,11,90.1,Type_A,3.21,3.35,0.14000000000000012
ID00170,Female,24,Economics,6.1,10.9,6,65.5,Type_C,2.96,3.19,0.22999999999999998
ID00171,Female,18,Mathematics,6.9,6.1,7,47.2,Type_C,3.07,2.97,-0.09999999999999964
ID00172,Male,22,Business,4.8,7.2,5,87.2,Type_B,2.89,3.23,0.33999999999999986
ID00173,Male,19,Engineering,8.3,3.3,6,81.8,Type_A,3.36,3.73,0.3700000000000001
ID00174,Male,21,Business,9.5,2.0,10,70.3,Type_C,3.15,3.13,-0.020000000000000018
ID00175,Female,20,Mathematics,6.0,4.5,2,59.5,Type_C,2.51,2.43,-0.07999999999999963
ID00176,Male,20,Engineering,4.5,3.0,7,74.0,Type_B,3.23,3.22,-0.009999999999999787
ID00177,Female,19,Economics,8.4,11.6,14,82.1,Type_B,1.87,2.35,0.48
ID00178,Male,22,Engineering,6.4,1.6,3,95.0,Type_A,3.31,3.37,0.06000000000000005
ID00179,Female,23,Mathematics,6.0,8.7,11,87.8,Type_B,2.4,2.81,0.41000000000000014
ID00180,Male,19,Economics,6.8,1.2,5,100.0,Type_A,3.05,3.38,0.33000000000000007
ID00181,Male,23,Engineering,5.2,2.2,8,69.5,Type_C,2.5,2.42,-0.08000000000000007
ID00182,Male,23,Engineering,7.7,1.2,5,98.2,Type_A,3.1,3.5,0.3999999999999999
ID00183,Female,22,Business,5.1,2.9,10,85.7,Type_B,3.39,3.64,0.25
ID00184,Female,23,Engineering,5.2,3.6,10,95.4,Type_B,3.85,3.98,0.1299999999999999
ID00185,Male,21,Mathematics,5.2,2.7,12,78.5,Type_B,2.33,2.05,-0.28000000000000025
ID00186,Female,22,Computer Science,7.2,5.2,6,100.0,Type_A,3.59,3.95,0.3600000000000003
ID00187,Female,19,Computer Science,4.3,3.6,7,89.4,Type_B,3.17,3.28,0.10999999999999988
ID00188,Female,24,Computer Science,10.0,0.9,11,74.8,Type_C,2.87,2.72,-0.1499999999999999
ID00189,Male,21,Mathematics,6.4,2.1,4,84.8,Type_A,3.48,3.57,0.08999999999999986
ID00190,Male,18,Computer Science,4.0,3.3,9,81.4,Type_B,2.98,3.3,0.31999999999999984
ID00191,Male,20,Business,5.4,7.4,12,92.3,Type_B,3.46,3.96,0.5
ID00192,Female,19,Mathematics,7.9,4.3,11,67.3,Type_C,2.6,2.76,0.1599999999999997
ID00193,Female,19,Economics,9.0,3.0,10,84.6,Type_A,2.78,3.17,0.3900000000000001
ID00194,Female,19,Mathematics,7.2,1.5,5,90.9,Type_A,3.57,3.86,0.29000000000000004
ID00195,Male,21,Mathematics,7.1,4.5,5,85.5,Type_A,3.84,4.0,0.16000000000000014
ID00196,Male,18,Engineering,4.7,8.4,9,100.0,Type_B,3.08,3.38,0.2999999999999998
ID00197,Female,24,Engineering,9.2,3.4,11,96.6,Type_A,1.71,2.11,0.3999999999999999
ID00198,Female,22,Engineering,7.8,2.3,10,84.9,Type_A,3.0,3.15,0.1499999999999999
ID00199,Female,18,Psychology,7.5,5.6,10,88.3,Type_B,3.12,3.55,0.4299999999999997
ID00200,Female,21,Business,7.0,7.6,11,89.4,Type_B,2.98,3.69,0.71
ID00201,Female,19,Mathematics,7.8,3.6,6,91.0,Type_A,3.27,3.47,0.20000000000000018
ID00202,Male,20,Mathematics,5.8,6.0,7,57.6,Type_C,2.86,2.42,-0.43999999999999995
ID00203,Male,19,Engineering,8.4,3.1,9,80.5,Type_A,3.52,3.64,0.1200000000000001
ID00204,Female,22,Mathematics,8.2,6.2,3,62.7,Type_C,2.52,2.44,-0.08000000000000007
ID00205,Female,23,Economics,6.9,8.6,10,100.0,Type_B,3.72,4.0,0.2799999999999998
ID00206,Male,20,Mathematics,6.6,6.7,3,84.1,Type_A,3.88,4.0,0.1200000000000001
ID00207,Male,19,Computer Science,4.0,5.5,8,82.1,Type_B,2.64,2.79,0.1499999999999999
ID00208,Female,24,Economics,4.4,10.2,5,98.5,Type_B,2.64,3.36,0.7199999999999998
ID00209,Male,20,Economics,7.8,3.5,13,91.3,Type_A,3.31,3.45,0.14000000000000012
ID00210,Male,23,Mathematics,8.4,5.5,15,68.1,Type_C,2.51,2.44,-0.06999999999999984
ID00211,Male,18,Psychology,8.6,3.5,7,83.9,Type_A,2.85,2.97,0.1200000000000001
ID00212,Female,21,Engineering,5.0,5.5,5,80.0,Type_B,3.65,3.78,0.1299999999999999
ID00213,Female,19,Business,10.0,6.1,10,58.8,Type_C,3.47,3.09,-0.38000000000000034
ID00214,Male,22,Business,8.5,7.0,7,74.6,Type_C,4.0,4.0,0.0
ID00215,Female,18,Computer Science,6.1,4.2,6,82.2,Type_B,3.19,3.37,0.18000000000000016
ID00216,Male,19,Business,7.2,1.1,6,83.3,Type_A,2.79,2.8,0.009999999999999787
ID00217,Male,18,Business,4.5,3.6,6,62.8,Type_C,3.13,3.11,-0.020000000000000018
ID00218,Female,22,Engineering,6.1,5.9,11,100.0,Type_B,3.02,3.3,0.2799999999999998
ID00219,Female,19,Engineering,7.8,4.9,9,83.5,Type_A,3.03,3.37,0.3400000000000003
ID00220,Female,23,Psychology,7.1,5.3,14,85.6,Type_B,3.09,3.31,0.2200000000000002
ID00221,Female,23,Computer Science,9.6,6.3,14,91.0,Type_A,2.63,2.94,0.31000000000000005
ID00222,Female,22,Business,4.8,1.9,9,73.2,Type_C,3.24,3.01,-0.23000000000000043
ID00223,Male,20,Psychology,6.8,6.5,4,91.8,Type_A,2.4,2.92,0.52
ID00224,Male,22,Computer Science,5.3,10.5,10,79.5,Type_B,2.74,3.01,0.2699999999999996
ID00225,Male,20,Economics,9.3,3.3,8,71.6,Type_C,3.04,3.03,-0.010000000000000231
ID00226,Male,19,Business,7.4,7.0,9,93.6,Type_B,1.97,2.64,0.6700000000000002
ID00227,Female,20,Business,7.0,4.3,10,100.0,Type_B,3.48,3.96,0.48
ID00228,Male,19,Engineering,6.8,5.2,9,95.9,Type_B,2.07,2.65,0.5800000000000001
ID00229,Female,19,Mathematics,5.7,6.7,12,98.8,Type_B,3.43,3.64,0.20999999999999996
ID00230,Female,24,Computer Science,8.8,4.9,4,77.2,Type_A,2.45,2.64,0.18999999999999995
ID00231,Female,21,Business,7.3,3.1,16,61.0,Type_C,2.9,2.53,-0.3700000000000001
ID00232,Male,19,Computer Science,7.4,5.0,3,100.0,Type_A,3.36,3.67,0.31000000000000005
ID00233,Female,20,Psychology,7.9,2.3,3,100.0,Type_A,4.0,4.0,0.0
ID00234,Male,21,Psychology,5.7,1.5,11,100.0,Type_B,3.16,3.4,0.23999999999999977
ID00235,Male,21,Mathematics,10.0,0.8,3,80.0,Type_A,2.11,2.38,0.27
ID00236,Female,19,Business,9.4,8.9,10,67.7,Type_C,3.58,3.8,0.21999999999999975
ID00237,Male,22,Engineering,6.9,5.4,8,69.0,Type_C,2.98,2.96,-0.020000000000000018
ID00238,Male,22,Business,6.5,6.1,7,59.7,Type_C,3.13,2.87,-0.2599999999999998
ID00239,Female,23,Computer Science,8.0,4.7,12,83.4,Type_C,3.38,3.73,0.3500000000000001
ID00240,Male,21,Economics,8.7,1.2,5,100.0,Type_A,1.99,2.05,0.05999999999999983
ID00241,Female,19,Psychology,9.6,8.6,7,82.9,Type_A,3.1,3.48,0.3799999999999999
ID00242,Female,24,Computer Science,8.0,3.1,7,89.5,Type_A,2.9,3.35,0.4500000000000002
ID00243,Female,22,Mathematics,7.2,0.8,12,100.0,Type_A,3.71,3.81,0.10000000000000009
ID00244,Male,24,Psychology,7.2,3.5,8,78.9,Type_C,3.46,3.52,0.06000000000000005
ID00245,Male,19,Engineering,4.2,8.0,17,100.0,Type_B,2.29,2.43,0.14000000000000012
ID00246,Female,19,Psychology,6.4,2.3,9,100.0,Type_B,3.73,4.0,0.27
ID00247,Male,21,Economics,7.5,3.4,9,83.0,Type_A,3.32,3.69,0.3700000000000001
ID00248,Female,24,Business,4.0,3.2,9,76.3,Type_B,2.33,2.17,-0.16000000000000014
ID00249,Female,23,Economics,7.3,2.2,7,95.5,Type_A,3.13,3.45,0.3200000000000003
ID00250,Female,21,Economics,5.8,4.4,5,79.8,Type_B,3.62,3.52,-0.10000000000000009
ID00251,Male,18,Business,9.4,2.4,6,67.7,Type_C,2.49,2.2,-0.29000000000000004
ID00252,Male,24,Psychology,6.6,8.8,8,100.0,Type_B,3.79,4.0,0.20999999999999996
ID00253,Female,22,Mathematics,6.6,1.4,11,100.0,Type_B,2.34,2.7,0.3600000000000003
ID00254,Male,22,Business,6.8,1.8,7,87.3,Type_A,2.7,3.1,0.3999999999999999
ID00255,Male,22,Business,7.0,3.4,14,66.1,Type_C,2.63,2.67,0.040000000000000036
ID00256,Female,20,Engineering,8.2,4.1,10,66.6,Type_C,3.79,3.82,0.029999999999999805
ID00257,Female,19,Psychology,6.5,2.7,9,86.6,Type_B,2.85,3.18,0.33000000000000007
ID00258,Female,21,Business,7.0,6.3,9,77.5,Type_C,2.52,2.81,0.29000000000000004
ID00259,Female,22,Mathematics,8.2,3.6,10,79.9,Type_C,3.32,3.09,-0.22999999999999998
ID00260,Male,18,Computer Science,7.0,5.6,6,100.0,Type_A,3.43,3.82,0.3899999999999997
ID00261,Female,22,Psychology,8.0,8.5,9,96.0,Type_A,3.43,3.91,0.48
ID00262,Female,23,Engineering,6.3,10.1,10,100.0,Type_B,2.96,3.42,0.45999999999999996
ID00263,Male,19,Economics,7.5,3.4,3,70.1,Type_C,3.23,3.38,0.1499999999999999
ID00264,Male,24,Business,9.0,4.3,12,79.9,Type_C,2.77,2.59,-0.18000000000000016
ID00265,Female,19,Mathematics,7.9,4.9,8,96.4,Type_A,3.94,4.0,0.06000000000000005
ID00266,Female,24,Psychology,4.2,3.5,9,91.7,Type_B,3.67,4.0,0.33000000000000007
ID00267,Female,24,Mathematics,7.8,2.1,12,100.0,Type_A,3.64,3.98,0.33999999999999986
ID00268,Female,21,Mathematics,5.3,7.3,12,91.3,Type_B,3.5,3.94,0.43999999999999995
ID00269,Male,20,Economics,5.6,2.1,4,100.0,Type_A,3.36,3.44,0.08000000000000007
ID00270,Male,24,Engineering,7.7,7.7,5,93.1,Type_A,2.48,3.02,0.54
ID00271,Female,24,Psychology,5.5,5.3,5,100.0,Type_B,3.42,3.56,0.14000000000000012
ID00272,Female,21,Business,5.3,4.8,8,80.1,Type_B,3.16,3.54,0.3799999999999999
ID00273,Female,22,Engineering,7.0,2.5,12,85.2,Type_B,3.73,3.9,0.16999999999999993
ID00274,Female,23,Business,6.1,1.0,4,98.7,Type_A,3.5,3.69,0.18999999999999995
